Installed apps:

Name                         Version                  Source      Updated             Info
----                         -------                  ------      -------             ----
7zip                         24.08                    main        2024-10-11 22:48:31     
7zip19.00-helper             19.00                    main        2024-10-11 23:24:44     
adb                          35.0.2                   main        2024-10-21 10:44:38     
avr-gcc                      14.1.0                   main        2024-11-10 17:04:58     
avrdude                      8.0                      main        2024-11-10 17:04:58     
bind                         9.16.50                  main        2024-10-30 19:20:55     
brave-nightly                1.75.7                   versions    2024-11-08 17:54:19     
broot                        1.44.2                   main        2024-11-09 15:16:10     
busybox                      5467-g9376eebd8          main        2024-11-06 13:40:19     
cemu                         2.2                      games       2024-10-14 17:12:19     
cmake                        3.31.0                   main        2024-11-07 20:00:06     
coreutils                    5.97.3                   main        2024-10-23 03:51:11     
cowsay                       0.2013.07.19             main        2024-10-21 16:01:58     
cpu-z                        2.12                     extras      2024-11-06 09:58:56     
dark                         3.14                     main        2024-10-13 14:02:47     
delta                        0.18.2                   main        2024-10-26 22:34:46     
discord                      1.0.9156-20              extras      2024-10-11 23:24:58     
docker                       27.3.1                   main        2024-10-23 03:41:56     
draw.io                      24.7.17                  extras      2024-10-26 21:19:19     
dust                         1.1.1                    main        2024-10-15 13:39:51     
epic-games-launcher          15.17.1                  games       2024-10-19 10:31:32     
exiftool                     13.02                    main        2024-11-06 08:40:25     
fastfetch                    2.28.0                   main        2024-10-23 04:28:07     
fd                           10.2.0                   main        2024-11-03 14:39:18     
ffmpeg                       7.1                      main        2024-10-14 10:59:57     
firefox                      132.0.1                  extras      2024-11-04 16:34:04     
flow-launcher                1.19.3                   extras      2024-10-22 17:32:21     
fzf                          0.56.1                   main        2024-11-10 20:02:17     
git                          2.47.0.2                 main        2024-10-23 06:28:32     
glazewm                      2.1.1                    extras      2024-11-03 18:47:47     
go                           1.23.3                   main        2024-11-07 20:00:57     
Hack-NF                      3.2.1                    nerd-fonts  2024-11-10 20:30:51     
helix                        24.07                    main        2024-10-20 04:31:09     
ida-free                     8.4.240527               extras      2024-10-30 10:27:03     
imageglass                   9.1.8.723                extras      2024-10-19 08:21:47     
imagemagick                  7.1.1-40                 main        2024-11-10 08:28:42     
innounp                      1.76                     main        2024-11-06 08:40:29     
